,comment,toxic
223,"зачем покупать ансис для таких простеньких расчётов как ветровая нагрузка? Взять солид и считать там, полная лицензия около миллиона стоит, плюс удобный иинтерфейс и хорошие хелпы. Ансис - это очень тяжеловесный пакет, построенный как франкенштейн из разных расчётных ядер, имеет смысл его брать для серьёзных комплексных задач
",0.0
1632,"Wild - дикарь А ведь верно.
",1.0
10612,"Из белых мужиков мы имеем жирного свина, калеку крыса, гея солдата, карлика торба, престарелого рейна без глаза и маккри без руки. Сколько калек, геев, стариков, жирдяев среди негров, азиатов и т.д.? Только покалеченный гензи?
",1.0
7082,"Чё там? Опять трупами завалили, героев небыло, платить и каяться?
",1.0
4806,"эээ...Обама разве никаких санкций не вводил? Как та дела обстоят с кредитованием экономики? А не имея доступа к доллару - какая может быть торговля?
",0.0
1704,"И цены у этих бабушек.... как будто все из Африки.
",0.0
8775,"До меня 2 года никто не делал больше четверти нормы, из чего делается вывод что норма взята с потолка . Я тут хуево объяснил. Не делали потому что не умели и не хотели уметь, а не потому что сложно. Поработали с 9 до 12 и домой. По моим комментариям может показаться что я весь такой молодец с золотыми руками. Нет, я просто первый понял что там можно зарабатывать.
",0.0
5895,"Умеет - и в Adjoint (который по результатам решения показывает, как достичь цели в минимизации максимизации чего-либо), и теперь умеет в недавно запиленный Freeform - искривление геометрии. В отличии от fluent а имеет более вменяемую структуру проекта и способы манипуляции компонентами проекта - и грёбаных UDF на С там нет .. вернее при желании есть, но также доступны Field Functions в самом проекте, как в CFX.
",0.0
5703,"Понятное дело, всё интересное он уже собрал с тебя)",0.0
515,"Остальные паразиты на теме двача не выстрелили, а Савкин держится за счёт стори приглашаемых гостей (реальных хикканов). Но уже сейчас он пытается сменить основную аудиторию с омеганов на школьников.
",1.0
10604,"Если оно будет не занято, могут и не заметить. Конечно при условии что 1а это не бизнес класс.
",0.0
10421,"если все так хорошо то почему очевидцы тех лет оставили мифы про лагеря и полупустую страну а не колонии на марсе и рассказы как все было зашибись?
",0.0
9990,"Замени их на Усатую Жируху, РСПшку и ЕОТову и будет та же хуйня для куна.
",1.0
471,"Тогда вот ещё вопрос, саязанный с бессмертием. Везде упоминают движ крышей при отсутствии людей. Но почему так происходит? В фильме я легенда показали, как ГГ разговаривает с манекенами. Это я понял, но я, например, умею жить без людей вовсе. Возможно, что это разнится от человека к человеку. Я долго обдумывал эту тему, смотрел фильмы и игры с постапокалипсисами. Единственное, что я нашёл неудобным - отсутствие чего-то нового, что создают люди прямо сейчас. То есть, если человечество вымрет и я останусь один, мне останется пользоваться оставшимися от них вещами, пока они все не истлеют от времени. Потом нечем будет заняться. Кому-то тоска, а мне, например, поле для деятельности: строить что-то самому, охота, путешествие, сбор оставшегося лута, до которого я ещё не добрался. Ну и много всего такого. Я не думаю, что у меня крыша поедет до такой степени, что я буду как сумасшедший учёный разговаривать сам с собой и валяться в поросшем деревьями разрушенном здании. Я не тибетский монах, но свой ум я могу держать в чистоте тысячу лет.
",0.0
8693,"Хуже того. Для жизни не пригодна, а содержать там инфраструктуру надо.
",0.0
4869,"И пиздежом попахивает, сломать лом?, согнуть или проебать это да, один лом на часть?, да ну нахуй, а чем плац мести? Чего чего а ломов, лопат и метел в армии дохуя сам сломал, сам сделал. Советскую пустотелую плиту сломать сложно, а дорожную, тем более аэродномную не реально! На самый маленький КамАЗ нужно плит 7 раздербанить.
",0.0
10538,"У нас такой запах будет только через 3 месяца, и то не факт
",0.0
8912,"Кузьма куколд с больной уретрой, диабетом и его жена проститутка и его все хуесосили Про уретру и диабет может быть правдой, учитывая сколько кузьме лет и как он при этом выглядит.
",1.0
8948,"- Доктор, вырежьте вон у того мужика сердце и вставьте мне! - Хммм... А у вас есть шоколадка?
",1.0
12725,"У меня такая кружка в процессе мытья развалилась в руках на 100500 мелких осколков. То есть, она может разбить пол, а потом взять и развалиться из-за того, что на нее полили теплой водичкой?
",0.0
4005,"Вангую у этого обсоса и так по 2-3 аккаунта на каждую соцпомойку. Поэтому он тут еще лечит анонов, как им сидеть на анонимных бордах. то просто не пиши мне а ты меня заставь, чепушило, тебе тут не писать, кек. Жидко обделаешься с первой же попытки.",1.0
4644,"Иностранца точно продают у них ещё сезон
",0.0
11119,"Знаешь, я хочу жить в стране, где нет нужды носить оружие, а не в стране, где разрешено его носить.
",0.0
12851,"А зачем рожать (или родиться), если может вырасти долбоёб?
",1.0
7523,"И что такое по-настоящему хороший парень? Опишите характеристики.
",0.0
11708,"Ну хз. 35-40 и больше вполне реально иметь в крупном городе. Кроме того, это средняя, а не медианная.
",0.0
5624,"золото в цене не падает.
",0.0
3595,"Либо ты лжец, либо склонен к суициду. Третьего не дано. Я в курсе, что на Пикабу полно диагностиков по нескольким фразам , вы, похоже, из их числа. Все остальные преступники. Как в данном случае бывшая жена. Это ваше мнение, у меня - иное, хоть и не совпадающее с законом. Тем более, обезвредить можно и без побоев.
",1.0
2368,"Так 120 144Гц только TN матрицы умеют, может конечно сейчас и лучше есть, но я не в курсе
",0.0
6953,"У нас 8 трактор 8 серии (JD и Fendt). Джоники у нас прицепы с картофелем таскают
",0.0
3638,"Откуда у таких дебилов машины?( Ну вот честно, он же по идее работает и даже если в кредит, то может себе это позволить.
",1.0
8787,"Лольнул ебаная кончита, когда ты сдохнешь уже?
",1.0
4876,"Молодцы, перекрыли неудобный пост. Каждому по 15 рублей.
",0.0
364,"Да оставили они себе уловки в законе. Сказано в их волшебном каталоге что бампер стоит 1000 рублей, значит ни копейки больше они не заплатят за него мастерской. Думаете автоюристы остались без работы после нововведений? Нет. Занимаются взыскиванием недостающих денег с виновника через суд.
",0.0
8614,"Если я правильно помню, нет. Но контрольная сумма должна была сходиться с определенной погрешностью.
",0.0
10012,"суд Гоблядь, я понимаю, что ты совок до спирта в мозжечке. Но даже сами совки еще в совке запустили саркастичный мем про самый справедливый суд в мире. Гоблядь, ну а про путинский суд даже говорить смешно. Гоблядь, ну прекрати. Я понимаю тебе Евген не нравится, но приводить суд в этой стране, как источник беспристрастности, объективности, ну это просто смешно. Я уж не говорю о том, что не фанату человека, который 20 лет не платил авторских отчислений, пиратил фильмы и крал чужую интеллектуальную собственность попрекать кого-то в подобном. Завязывай.
",1.0
10257,"да всем уже пофиг. все уже знают что русские допинг бочками пьют. а вот у норвежцев просто астма с 2014 спорт уже не смотрю
",1.0
10934,"Я поглотил знание. Вы будете сосать мой хуй. Со-со-со-со-со-со-со-со-со-со-со-со-со-сать.
",1.0
9182,"Так я всегда говорил, что уборка несёт ещё кучу неявных функций, таких как ревизия например)
",0.0
12092,"уж не занимался ли братец торговлей специально приготовленным растением, тетрагидроканнабиол содержащий?",0.0
8029,"что, не ели обычную столовую запеканку со сгущёнкой? Я за обе щеки трескала и за добавкой тянулась.
",0.0
9120,"Ну не буду по выпаду насчет Путина отвечать - смысла нет, а вот начнет того, что у Украины есть шанс вылезти - он есть. При условии возвращения всё в зад. Посадки бандероублюдков, налаживания связей с Россией и возврат к уровню жизни при Януковиче - хотя бы.",1.0
851,"Спасибо. Наконец-то я расхотел заводить кота и кого-либо вообще.
",0.0
12005,"Не повышать акцизы, не сажать конкурентов Роснефти. Из самого простого.
",0.0
8482,"Дрозд-рябинник поедающий боярышник: забыл лицо своего отца.
",0.0
5324,"если на борде не будет хохлов то не будет про них постов
",1.0
302,"Фабрика еще и с Петрикором отдельно всех порадовала, помнится
",0.0
2964,"До Билайна лет 10 был Ростелеком, есть с чем сравнмть, плюсов у Билайна больше чем минусов на данный момент. За 5 лет только один раз был к ним вопрос по подключению нёх
",0.0
3076,"Как можно по разному смотреть на то, в какую сторону закрывается люк у космического корабля или как выглядят антенны для ближнего и дальнего космоса?
",0.0
9913,1. Говорит по русски. 2. Опускает Навального и окатышей. 3. Показывает пример подхода в работе с информацией.,1.0
8160,"Я не конкретно про этот случай. Чаще на дороге встречаются неадекватные мотоциклисты, нежели нормальные.
",1.0
8623,"так от сварщика то норм это слышать,совсем другая плоскость полемики, а не от совершенно ничего не понимающего в этом деле человека.
",0.0
8999,"Я вот не то чтобы топлю за рен тв и прочее. Старался объективно изучать все исследования на эту тему лет 5. Как ни крути там помимо технологических фокусов, есть масса довольно любопытных, тупо логических проблем, которые ну вот никак не бьются ни с одной из современных теорий. Почему то иногда хочется чтобы в самых ебенях Перуанских гор, или на глубине 800 метров под пирамидами откопали таки, одно неразграбленное захоронение , и там реально оказался скафандр и лазер. Посмотреть на реакцию всех этих пилильщиков вручную .
",0.0
12417,"оно у него в кобуре а не в руках еслиб он бегал и размахивал им его бы так же пристрелили
",1.0
752,"Была же информацию что пиндосы собирают генетические материалы россиян... задумайтесь...
",1.0
3366,"Ну уж нет. Зона племен, как в Пакистане нам на границах не нужна. да и вопрос Донбасса решать таки нужно уже.",1.0
8288,"половина ее делится (в т.ч. на нее - половина супруга..но уже с учетом детей)
",0.0
1855,"Капитализм не работает без периферии и полупериферии.там дешевая рабочая сила,и туда можно скидывать кризисы. То что мы видим сейчас это закат капитализма, и что будет далее не совсем понятно
",0.0
11166,"Скоро татары тебя раскулачат и отберут свою жену
",1.0
3419,"Сказки на ночь это хорошо, спиться крепче. Только один нюанс, если сравнить с материнским капиталом, он даётся родившим 2 ребёнка после принятия закона. А кто родил до, те ничего не получали.
",0.0
2996,"Ага, только вот в России войны нет, коррупция что Украине еще ее догонять и догонять, про подьем экономики я даже не стану писать, ну а про охуенную медицину и так все в курсе. Да, еще забыл что в стране где идет война национальная валюда дороже рубля. А теперь скажите что это все не так!
",0.0
1996,"Иогана Ебать, земля тебе пухом, братишка. Этот ебаный унылый никчемный тупорылый копрославный куколд.
",1.0
8946,"Работаю с этой техникой, накопил небольшой но опыт
",0.0
1582,"Производители железа были бы рады, если бы Гугл ничего не обновлял годами. Сговор с ними совсем не при чём. С формальной точки зрения, любая новая версия добавляет производительности, увеличивает срок жизни батареи, защищает от взломов лучше. Так что работа идёт. Небольшие партии планшетов вы не купите в Китае, это не интересно поставщикам.
",0.0
3303,"Мне похер на оценки.Всегда пишу то,что думаю.",0.0
10117,"в хухле искал? забиваешь название книги. pdf
",0.0
2543,"А можете посоветовать что-то конкретное? Производитель что угодно может написать. Те спреи, что видела в продаже, по факту не работают, плюс их постоянное нельзя в полной мере использовать, если собака живет на улице. Поэтому нужны препараты для круглогодичного использования.
",0.0
10891,"Что за ролик? Тоже хочу такой звук
",0.0
10285,"Да не, то не редактор: у неё там по старой ватной привычке получилось: профессионального русофоба, недоучки и ангажированного псевдоученого Пришлось замазывать.
",1.0
8273,"Купил там ноут в рассрочку. Подождал минут и забрал со склада. Все хорошо.
",0.0
4394,"Интересно как определили? Жирность не падает если разбавить водой.
",0.0
12704,"любопытства ради: во сколько лет был сделан этот поворот и была ли на тот момент семья? Было ли проседание по финансам?
",0.0
4147,"А еще были мультсериалы, подземелье драконов, том сойер, и топо джиджо . в 90х
",0.0
4352,"Ну во первых от 30 к, по крайней мере на Украине так, а во вторых это сарказм, 300 к село, ахаха",0.0
3139,"Чем старше набор - тем дороже он сейчас ценится
",0.0
8731,"К стенту привыкнеш через пару недель. Если повезет, стент сам камень раздробит, не все камни,но часто перемалывает. Пока стоит стент пей омник по 1т. 1 раз в сутки, лучше на ночь. Если еще сильно беспокоят позывы на мочеиспускание то можеш везомник попить, станет пооучше. Пить не меньше 2 литров в сутки, если температура сразу в больницу
",0.0
5243,"Pro подписка. И могу кроме маринтраффик ещё 4 получателям скидывать... ессно не бесплатно
",0.0
10551,"Кому как и мне интересно : сурьма это такой металл,его добывают в кристаллах и плавят чтобы добавить в соединения к другим металлам.Вот на картинке показано как это делают.
",0.0
5865,"а в морге висит плакат - добро пожаловать, на тот свет с чистой брюшиной
",1.0
2717,"Панические атаки и ВСД очень частые спутники проявившейся шизофрении. Не хочу вас пугать, но посетите психиатра. Вам выпишут АД по вашему состоянию. И вы еще очень много лет будете адекватным человеком.
",1.0
5561,"Спасибо, добрый человек!
",0.0
2279,"умных людей игродауны
",1.0
8530,"Родственник был токарем на сделке, работал на оборонном заводе. 500-700 р. знаю человека, работал на исследовательском судне МО, в походах з п 1000р м. На простое меньше в два раза. Ему 56, час назад общались.
",0.0
11730,"Реально тётка, отсутсвие кадыка рукой прикрывает
",1.0
3905,"Гениальный сериал. Только первая серия заставляет сопереживать. А по факту дальше нет ни одного момента, где бы оправдывались его корыстные поступки. Достаточно одной серии, чтобы заставить всех сопереживать злодею.
",0.0
5478,"КАКИЕ ХОХЛЫ?! два урода. при чём ту вообще ХОХЛЫ! аноны, смотрите! я двух шлюх проплаченых поймал!
",1.0
10579,"Работаю мозгами и руками, а они пизду продают
",1.0
10155,"Более половины россиян не исключают задержки (56 ) или снижения (58 ) заработной платы у себя или у членов своей семьи в ближайшие два-три месяца, при этом 8 опрошенных уже столкнулись с реальной задержкой выплат, а 6 со снижением оклада. Об этом свидетельствуют данные опроса Аналитического центра НАФИ, опубликованные в четверг, 21 марта. Вероятность задержки или снижения зарплаты оценивается россиянами по-разному в зависимости от типа населенного пункта, в котором они живут. Так, с невыплатой зарплаты чаще всего сталкиваются жители сел: среди них примерно каждый десятый (11 ) отметил, что их работодатель уже задерживал оплату труда. Жители Москвы и Санкт-Петербурга чаще других говорят о возможности снижения размера оклада (66 ). Треть россиян (34 ) отметили, что за последние три месяца их знакомые или родственники теряли работу. Как и в случае с задержками зарплат, чаще других об увольнениях друзей или близких говорили жители сел (41 ). Мнения россиян о сложности трудоустройства в случае увольнения разделились. Каждый пятый работающий (19 ) считает, что в случае потери текущей занятости легко найдет себе равноценную позицию. Примерно каждый четвертый (27 ) полагает, что найдет похожую работу с небольшими усилиями, а каждый третий (32 ) указал, что если это и удастся сделать, то с большим трудом. Еще 20 отметили, что отыскать равноценное место работы будет практически невозможно. Наиболее пессимистично настроены работающие жители Москвы и Санкт-Петербурга: 64 полагают, что при потере работы им будет сложно или практически невозможно найти аналогичную позицию. Уверенность россиян в возможности найти работу в случае увольнения зависит от возраста. Большинство опрошенных в возрасте от 18 до 24 лет считают, что смогут трудоустроиться без проблем или с небольшими усилиями (63 ). При этом почти три четверти россиян старше 55 лет (71 ) невысоко оценивают свои шансы на равноценное трудоустройство. Репрезентативный всероссийский опрос НАФИ проведен в декабре 2018 года. Опрошено 1,6 тыс. человек в 140 населенных пунктах 42 регионов России в возрасте 18 лет и старше.
",0.0
1179,"Собаке - собачья смерть
",1.0
2792,"Я в курсе за каргокульты, их самолеты построены весьма реалистично и практически в масштабе 1 к 1
",0.0
4027,"так возьмите любой документ, подписанный кем-то. Вы каким образом будете устанавливать то, что этот документ подписал именно тот человек? Если вы эксперт, то хорошо, да и то, почерковедческая экспертиза не однозначное доказательство Каждый верит в то, что он поверил. Реально неоспоримых фактов гораздо меньше, чем их таковыми выставляют.
",0.0
1743,"Да никто не просит добавки. За неё балл в зарплате (если конкретно про меня говорить). Выбрали нового профсоюзного лидера в январе. Всех начальников собрали и выбрали. Из 1 кандидатуры. Нам сказали - присутствовали ваши представители. Раньше хоть видимость делали
",0.0
8857,"У меня он в холодильнике хранился, не завонял. Просто половину консервов испачкало.
",0.0
457,"Белую мразь давили как говно, погоны вбивали гвоздями царским шлюхам. Смылись во Франции и Германии, а позже воевали против свтего же народа. Краснова поймалии повесли, старую шлюху таракана.
",1.0
2450,"Сказочный дегенерат просто.
",1.0
10089,"А мне в Белоруссии понравилось
",0.0
7511,"Не верьте дизинфе хачеградцев.
",1.0
3724,"Заведующим отделения для безмозглых влагалищ в ПНД.
",1.0
4032,"Лол. Ни одним аргументом, кроме веры в святой Капитал не разродился, но заблуждения конечно у меня ... вы предлагает фашизм Ну и конечно куда совкофилам без выдумок. Слив засчитан.
",1.0
1090,"Это главная проблема. Как вариант, устроится сторожом ночным.
",0.0
698,"А развитие Китая без заметных кризисов - это и есть признак развивающегося социализма - плановость. А еще это признак развитого гос. капитализма. Где правящая бюрократия просто вовремя купирует все кризисы вливанием ресурсов.В какой-то момент в Китае начал проявляться криззис перепроизводство, так быстр обыли выделены ресурсы на сеть дорог (всех видов, особенно высокоскоростных) и вот, в Китае одна из самых развитых инфраструктур, только подстегнуло рынок. Но окупиться такая инфраструктура могла только в Китае. Но госкапитализм не противоречит социализму. Это элемент. Плановость была признаком социализма во времена СССР, хотя сами Штаты во всю использовали планирование, особенно в космической программе. В США плановость использовали частично, для купирование эффектов капитализма (как кстати и элемнтов социализма). А вот социализм, плановость использует массово, Китай использует его как нормальная коммунистическая страна - везде, где может. Китайцам тогда тоже надо бы поторопиться. США уже четко решили разбираться с Китаем, и второй срок Трампа наверняка станет временем начала активных действий. А куда торопится. При кризисе с США, они схлопнутся и перейдут в социализм, как СССР при Сталине. У Китая выход есть, в отличие от США.",0.0
7921,"Проход в хохлы 5 постом сегодня без премии
",1.0
9815,"Один вопрос, кто вменяемый впустит конкурентов на свой рынок?
",0.0
9641,"Вы там все дебилы, в Кубанойдии своей. Один по встречке гоняет, второй мелкобуквенный, безграмотный хуесос. Жлобы тупые, ненавижу южан, всех типов.
",1.0
11957,25 лет в Копейске прожил.,0.0
8608,"Не, тот время останавливал, а этот в предобморочном за сердце держался и блевать бегал.",0.0
12576,"Это хорошая новость, пусть и не от наших ученых, что где-то идут научные исследования.
",0.0
12845,"Ну, тут два варианта, либо платить, либо добавить третью сторону - установщика окон, которые по идее уже должны были оплатить лечение и моральный вред, а теперь ещё и ремонт авто оплатят.
",0.0
5242,"Всё можно починить и перебрать. А вот с современными такая хуйня уже не прокатит О чем и речь, чинить автомобили в 21 веке это удел нищих параш, тру автолюбители, как и горнодобывающие компании заинтересованы в редколомающихся машинах, но если сломались то не скупиться на эвакуацию ремонт от диллера не будут. А самому ремонтировать заменяя трос резинкой от трусов - это всё из 20 века
",0.0
12897,"А это где? У нас тоже чистили, даже 2 или три раза, но из за обилия машин толку не много... Это я про двор говорю. Проспект и карманы пытались, но по мне лучше ровная каша чем валы в полметра высотой.
",0.0
7145,"Дешёвые носки у меня больше 3 одеваний не переживают, так что вариантов нет, приходится покупать хорошие, для треккинга например, бонусом конечно комфорт идёт, пытался не раз покупать в разных местах, от ашановских до всяких магазинов типа чебоксарский трикотаж и рынка само собой, результат один, более-менее нормальные не меньше сотки стоят за пару, но по итогу наиболее выгодные всё-равно для треккинга хоть и требуют больших вложений.
",0.0
6512,"для двигателей нужен кислород , а он поднимался на шаре . и не пару и 5 лет назад p s хотя все эти цифры от организаторов шоу .очень странно что в конце капсула висит точно на заданой высоте плюс минус 1 метр
",0.0
1796,"почему белые такая биомасса, затекающая вообще в любую форму
",1.0
8474,Мне вот что интересно. Их самих не смущает Знамя Победы и власовский флаг рядом ?,0.0
4119,"Отписался от долбоеба, все подписки засрал дебил блять
",1.0
1851,"В принципе, это все, что нужно знать о наших музыкальных школах.
",0.0
6395,"на всякий, дозировки указаны разового приема, т.е. три раза в день по столько.
",0.0
11510,"Пидарас конченый, это где такое видано младенца избивать, в тюрьме пусть грушей будет всем ментам и зэкам!
",1.0
6768,"А разрешить отстрел дебилов они случаем не хотят? То есть виноват, блядь, веселящий газ, а не уебан со стволом, пьяный, вхуяренный наркотой и вгашенный еще каким дерьмом. Пиздец!
",1.0
2061,"Кстати про слизь мне говорили. Надо глянуть. Я кстати как определяю, нравится мне анимеха или нет: пару-тройку серий посмотрела. Если завтра мне хочется дальше её смотреть, то я её досмотрю до конца) всегда работает
",0.0
2814,"Поменял колено и вкладыши. Даже голову не подымал. Я этот мотор год назад перебирал колено растачивали. После переборки проехал 100000км и тут такое. Он сломался под углом на шатуне и не провернули. Клапанам не досталось. Ещё пытался заводится
",0.0
10272,Не советую грибы собирать в пластиковую тару.Преют грибочки в ней.Лучше мешочек из под сахара например.Себе плпнирую сделать типа рюкзака из бельевой корзины.,0.0
7879,"Тоже в зале наблюдала особу, занявшую лавку для упражнений, пока ее совсем маленькая дочь ползала рядом. Ползала! т.е. ребенок даже не ходящий, в ползунках. Она уползала постоянно от этой лавки к жимовой скамье, ревела когда ее другие люди оттаскивали от места, где могло прилететь штангой, облизывала висящие рядом блины и истошно вопила, когда у нее мужики эти блины отнимали. Там на нее легко было наступить, уронить блин, уронить блин непосредственно со штанги если б съехал. Мамашка сидела в телефоне и не забирала ребенка сама, обычно ей его приносили, ну и периодически, не отрываясь от чатиков, она протяжно взывала Аааняяяяя! нууу Ааняяяяя, куда ты, вернись сюда! - будто пускающая ещё слюни Аня адекватно все поймет и рассудит, мол ёмаё и правда, куда же я, и придет пешочком к матери спокойно сидеть на попе ровно и не отвлекать ее. Такие женщины рожают мозг вместе с ребенком.
",1.0
